study_id,title,description
EGAS00001002596,sc mutation call,We are trying to develop a way of calling mutations from single cell RNA-sequencing data and are trying to do a control experiment where we single cell rna sequence a cell line for which the mutations are well characterised.
EGAS00001002276,gwas data illumina 2 5  snps  cuban cohorts  dengue disease,"We will have 274 individuals typed for the Illumina Human Omni 2.5 chip. The individuals are from two locations in Cuba (Havana and Guantanamo) and from four phenotype classes (asymptomatic, control dengue fever and dengue hemorrhagic fever)."
EGAS00001002440,biallelic mutations   ubiquitin ligase rfwd3  fanconi anemia,"The WD40-containing E3 ubiquitin ligase RFWD3 has been recently linked to the repair of DNA damage by Homologous Recombination (HR). Here we show that an RFWD3 mutation within the WD40 domain is connected to the genetic disease Fanconi anemia (FA). An individual revealed congenital abnormalities characteristic for FA. Cells from the patient, carrying the compound heterozygous mutations c.205_206dupCC and c.1916T&gt;A in RFWD3, show increased sensitivity to DNA interstrand cross-linking agents in terms of increased chromosomal breakage, reduced survival and cell cycle arrest in G2 phase. The cellular phenotype is mirrored in genetically engineered human and avian cells by inactivation of RFWD3 or by introduction of the patient-derived missense mutation, and is rescued by expression of wildtype RFWD3 protein. HR is disrupted in RFWD3 mutant cells, caused by impaired relocation of mutant RFWD3 to chromatin and defective physical interaction with RPA. Rfwd3 knockout mice exhibit increased embryonic lethality, are sub-fertile, show ovarian and testicular atrophy and have a reduced life span in which they resemble other FA mouse models. Although mutation was detected in a single child with FA yet, we propose RFWD3 as a novel FA gene, FANCW, supported by cellular paradigm systems and an animal model."
EGAS00001002633,isotype resolved sequencing   cell receptor  sorted memory populations,"Optimisation of ex vivo Memory B cell Expansion/Differentiation for Interrogation of Rare Peripheral Memory B Cell Subset Responses

1) This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute please see http://www.sanger.ac.uk/datasharing/"
EGAS00001002691,development  metrics  quality standards  scale   human pluripotent stem cells,"RNA sequencing of iPSC and hES cells looking to set up culture standards to culture iPSC large scale using automation.
This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"
EGAS00001002634,isotype resolved sequencing   cell receptor  health  disease,"Sequencing of B-cell receptor repertoires in healthy individuals and patients with chronic lymphocytic leukemia.

1) This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute please see http://www.sanger.ac.uk/datasharing/"
EGAS00001000436,lung multi site targeted sequence capture,DNA extracted from multiple biopsies taken from different areas of primary lung tumours will be subjected to targeted re-sequencing and analysed in order to assess intra-tumour heterogeneity with respect to mutations in a selection of cancer related genes.
EGAS00001001065, wgs sequencing  chinese gastric cancer case,Whole WGS sequencing and WES of Chinese gastric cancer case
EGAS00001002653,childhood arthritis rna,The aim of this study is to describe the transcriptome of single arthritic cells.
EGAS00001000928,understanding  genetic determinants  disease   lens   splicing code,"A fundamental challenge in genomics research is to accurately predict the consequences of genetic variation on gene regulation. We present a new approach that uses a regulatory model of splicing to determine how a variant impacts exon inclusion. This contrasts sharply with, but can be used to amplify the sensitivity of, techniques that compare variants using multiple genomes or genome annotations. By computing ‘misregulation scores’ for 658,420 single nucleotide variations, we observe that our system reliably detects disease-causing variants, even when they are synonymous or located within introns. The analysis reveals genome-wide trends in how mutations cause disease; for example, missense exonic mutations that least impact protein function are five times more likely to disrupt splicing regulation than highly deleterious mutations. Our approach provides new insights into altered regulatory mechanisms in spinal muscular atrophy, nonpolyposis colorectal cancer and autism, and elucidates new candidate disease genes. The regulatory model thus opens the door to previously impossible explorations into how genetic variation impacts human disease."
